pulse.on	pulse.off	event.code	block
0	0	0	0
22.5492564965	22.5492564965	1	0
22.5492564965	23.0555541441	2	0
23.0555541441	23.7664720861	3	0
23.7664720861	24.2867779691	2	0
24.2867779691	24.8170897344	3	0
24.8170897344	25.3398970879	2	0
25.3398970879	26.2009032654	3	0
26.2009032654	26.7347170895	2	0
26.7347170895	27.6852759142	3	0
27.6852759142	28.2270944442	2	0
28.2270944442	28.8024326801	3	0
28.8024326801	29.3452517984	2	0
29.3452517984	30.1031973875	3	0
30.1031973875	30.6505191529	2	0
30.6505191529	31.1202953299	3	0
31.1202953299	31.6636147423	2	0
31.6636147423	32.22094239	3	0
32.22094239	32.7652623906	2	0
32.7652623906	33.3385994501	3	0
33.3385994501	33.8824191566	2	0
33.8824191566	34.6393641574	3	0
34.6393641574	35.1871862169	2	0
35.1871862169	35.9896579825	3	0
35.9896579825	36.5449844538	2	0
36.5449844538	37.0237659249	3	0
37.0237659249	37.5740894549	2	0
37.5740894549	38.124412985	3	0
38.124412985	38.6737359268	2	0
38.6737359268	39.592776222	3	0
39.592776222	40.1511044579	2	0
40.1511044579	40.7434526939	3	0
40.7434526939	41.3012806357	2	0
41.3012806357	42.1762950485	3	0
42.1762950485	42.7396262256	2	0
42.7396262256	43.3114624027	3	0
43.3114624027	43.8878012269	2	0
43.8878012269	44.4281188746	3	0
44.4281188746	44.9854465223	2	0
44.9854465223	45.4622268169	3	0
45.4622268169	46.0135509352	2	0
46.0135509352	46.5793835829	3	0
46.5793835829	47.1292068189	2	0
47.1292068189	47.963697408	3	0
47.963697408	48.5230262322	2	0
48.5230262322	49.1974227036	3	0
49.1974227036	49.7567515278	2	0
49.7567515278	50.3480991755	3	0
50.3480991755	50.9064274114	2	0
